Ano de eleição;Cargo;UF;Coligação;Composição da federação;Região;Sigla da federação;Sigla partido;Turno;Quantidade de votos válidos;Data de carga
2022;Deputado Federal;SP;FEDERAÇÃO;CIDADANIA / PSDB;SUDESTE;PSDB/CIDADANIA;CIDADANIA;1;438574;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;CIDADANIA / PSDB;SUDESTE;PSDB/CIDADANIA;PSDB;1;1061538;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;PC do B / PT / PV;SUDESTE;PT/PC do B/PV;PC do B;1;145727;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;PC do B / PT / PV;SUDESTE;PT/PC do B/PV;PT;1;2941086;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;PC do B / PT / PV;SUDESTE;PT/PC do B/PV;PV;1;45794;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;PSOL / REDE;SUDESTE;PSOL/REDE;PSOL;1;1984281;2025-03-25 03:36:58
2022;Deputado Federal;SP;FEDERAÇÃO;PSOL / REDE;SUDESTE;PSOL/REDE;REDE;1;304580;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;AGIR;1;33343;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;AVANTE;1;241814;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;DC;1;5269;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;MDB;1;1613626;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;NOVO;1;361268;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PATRIOTA;1;228947;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PCB;1;15510;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PCO;1;4187;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PDT;1;285898;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PL;1;5343667;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PMB;1;18698;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PMN;1;15463;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PODE;1;892443;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PP;1;1174646;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PROS;1;60576;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PRTB;1;54545;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PSB;1;733141;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PSC;1;293192;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PSD;1;1055965;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PSTU;1;8790;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;PTB;1;217212;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;REPUBLICANOS;1;1580891;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;SOLIDARIEDADE;1;379310;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;UNIÃO;1;1811462;2025-03-25 03:36:58
2022;Deputado Federal;SP;PARTIDO ISOLADO;#NULO#;SUDESTE;#NULO#;UP;1;24142;2025-03-25 03:36:58
